Species,Form,Nickname,Origin Game,Method,Setup,Event,Encounters,Odds,Caught Date,Ball,Nature,Gender,Ability,Mark / Ribbon,Location,Image,Notes
Lucario,,,Scarlet,Random Encounter,,,,1/1365,2024-10-23,Nest Ball,Careful,Male,,,South Province (Area Four),,
Pawniard,,,Scarlet,Random Encounter,,,,1/1365,2020-01-20,Quick Ball,Quiet,Female,,,North Province (Area Two),,acnh strikes again
Popplio,,,Scarlet,Mass Outbreak,,,,1/819,2025-01-25,Quick Ball,Impish,Male,,,Coastal Biome,,
Lycanroc,Midnight,,Scarlet,Random Encounter,,,,1/1365,2024-10-25,Quick Ball,Naughty,Female,,,Area Zero,,
Mudbray,,,Scarlet,Random Encounter,,,,1/1365,2020-01-24,Quick Ball,Hasty,Female,,,Paradise Barrens,,acnh strikes again
Minior,Green Core,,Scarlet,Mass Outbreak,,,,1/819,2025-07-22,Quick Ball,Brave,Genderless,,,Coastal Biome,,
Lechonk,,,Scarlet,Random Encounter,,,,1/1365,2024-01-24,Quick Ball,Bashful,Female,,,South Province (Area One),,acnh strikes again
Tadbulb,,,Scarlet,Mass Outbreak,,,,1/819,2025-01-27,Quick Ball,Naughty,Male,,,East Province (Area Two),,
Cyclizar,,,Scarlet,Random Encounter,,,,1/4096,2023-10-28,Great Ball,Bashful,Female,,,West Province (Area Two),,
Great Tusk,,,Scarlet,Random Encounter,,,,1/1365,2024-08-14,Dusk Ball,Quirky,Genderless,,,Area Zero,,
Gimmighoul,Chest,,Scarlet,Tera Raid,,Shiny Gimmighoul Tera Raid event,,1/4103,2024-08-16,Ultra Ball,Adamant,Genderless,,,A crystal cavern,,
Gloom,,,Scarlet,Tera Raid,,,,,2026-06-20,Nest Ball,Hardy,Female,,,A crystal cavern,,
Wooper,Paldean,,Scarlet,Mass Outbreak,,,,1/819,2026-06-25,Heal Ball,Gentle,Female,,,South Province (Area Four),,
Slugma,,,Scarlet,Tera Raid,,,,,2026-06-20,Luxury Ball,Gentle,Male,,,A crystal cavern,,
Tyrogue,,,Scarlet,Random Encounter,,,,1/1365,2026-06-25,Luxury Ball,Quirky,Male,,,Canyon Biome,,
Trapinch,,,Scarlet,Random Encounter,,,,1/1365,2026-06-25,Net Ball,Hasty,Male,,,Savanna Biome,,
Swablu,,,Scarlet,Random Encounter,,,,1/1365,2026-06-15,Quick Ball,Hasty,Male,,,Canyon Biome,,
Seviper,,,Scarlet,Random Encounter,,,,1/1365,2026-06-13,Dusk Ball,Relaxed,Male,,,Coastal Biome,,
Cranidos,,,Scarlet,Random Encounter,,,,1/1365,2026-06-20,Repeat Ball,Modest,Male,,,Canyon Biome,,
Axew,,,Scarlet,Random Encounter,,,,1/1365,2026-06-20,Nest Ball,Hardy,Female,,,Canyon Biome,,
Vullaby,,,Scarlet,Random Encounter,,,,1/1365,2026-06-25,Luxury Ball,Naughty,Female,,,Savanna Biome,,
Rowlet,,,Scarlet,Random Encounter,,,,1/1365,2026-06-25,Luxury Ball,Adamant,Male,,,Savanna Biome,,
Venusaur,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-02-22,Luxury Ball,Serious,Male,,,Wild Zone 20,,
Gengar,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-01-08,Ultra Ball,Rash,Female,,,Wild Zone 4,,
Gardevoir,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-02-10,Ultra Ball,Rash,Male,,,Wild Zone 20,,
Bagon,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Brave,Female,,,Wild Zone 18,,
Shelgon,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Dusk Ball,Rash,Male,,,Wild Zone 18,,
Salamence,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-27,Dusk Ball,Relaxed,Female,,,Wild Zone 18,,
Doublade,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-27,Dusk Ball,Quirky,Male,,,Lysandre Labs,,
Pinsir,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Heal Ball,Relaxed,Female,,,Wild Zone 13,,
Panpour,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Friend Ball,Adamant,Male,,,Rogue Sector 7,,
Ralts,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Premier Ball,Naive,Male,,,Rogue Sector 2,,
Pancham,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Premier Ball,Rash,Male,,,Wild Zone 3,,
Fletchling,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-25,Ultra Ball,Brave,Male,,,Magenta Sector 8,,
Fletchinder,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Ultra Ball,Serious,Female,,,Magenta Sector 8,,
Talonflame,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Ultra Ball,Naive,Female,,,Magenta Sector 8,,
Bunnelby,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-20,Ultra Ball,Quiet,Male,,,Vert Sector 8,,
Scatterbug,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-10-29,Poké Ball,Quirky,Male,,,Wild Zone 1,,
Vivillon,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-10-24,Ultra Ball,Impish,Female,,,Rogue Sector 1,,
Weedle,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-25,Premier Ball,Naive,Female,,,Magenta Sector 9,,
Kakuna,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-25,Premier Ball,Bashful,Male,,,Magenta Sector 9,,
Beedrill,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-25,Dusk Ball,Bold,Female,,,Magenta Sector 9,,
Pidgey,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Ultra Ball,Sassy,Female,,,North Boulevard,,
Pidgeotto,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Ultra Ball,Calm,Female,,,North Boulevard,,
Pidgeot,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Ultra Ball,Impish,Female,,,Bleu Sector 5,,
Mareep,,,Pokémon Legends: Z-A,Gift,,,,1/1096,2025-10-29,Poké Ball,Docile,Female,,,Wild Zone 1,,
Patrat,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Ultra Ball,Bold,Female,,,Magenta Sector 8,,
Watchog,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-25,Premier Ball,Hasty,Female,,,Magenta Sector 8,,
Magikarp,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-11-04,Ultra Ball,Impish,Female,,,Wild Zone 2,,
Gyrados,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-11-04,Ultra Ball,Brave,Female,,,Wild Zone 2,,
Binacle,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Ultra Ball,Hasty,Male,,,Bleu Sector 5,,
Barbaracle,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Luxury Ball,Docile,Female,,,Bleu Sector 5,,
Flabebe,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Luxury Ball,Gentle,Female,,,Bleu Sector 8,,
Floette,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Premier Ball,Docile,Female,,,Wild Zone 3,,
Florges,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Premier Ball,Sassy,Female,,,Wild Zone 3,,
Skiddo,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-11-04,Ultra Ball,Mild,Female,,,Wild Zone 3,,
Gogoat,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Ultra Ball,Adamant,Male,,,Wild Zone 12,,
Espurr,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-11-06,Poké Ball,Quirky,Female,,,Rouge Sector 7,,
Meowstic,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-11-04,Ultra Ball,Calm,Female,,,Wild Zone 3,,
Litleo,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-11-04,Ultra Ball,Docile,Male,,,Wild Zone 3,,
Pyroar,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Premier Ball,Hardy,Female,,,Wild Zone 3,,
Trubbish,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Dusk Ball,Impish,Female,,,Magenta Sector 9,,
Spinarak,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-10-29,Great Ball,Sassy,Male,,,Wild Zone 4,,
Ariados,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-02-19,Ultra Ball,Sassy,Male,,,Wild Zone 20,,
Gastly,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Luxury Ball,Naughty,Male,,,Bleu Sector 5,,
Haunter,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-27,Dusk Ball,Gentle,Female,,,Magenta Sector 9,,
Scolipede,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-10-29,Poké Ball,Careful,Male,,,Wild Zone 5,,
Bellsprout,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Premier Ball,Naive,Female,,,Magenta Sector 8,,
Weepinbell,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-25,Premier Ball,Bold,Female,,,Magenta Sector 8,,
Victreebel,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Ultra Ball,Modest,Female,,,Magenta Sector 8,,
Pansear,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2025-10-31,Ultra Ball,Serious,Male,,,Jaune Sector 4,,
Simisear,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Poké Ball,Rash,Male,,,Rouge Sector 7,,
Swablu,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Modest,Male,,,Wild Zone 18,,
Altaria,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Heal Ball,Naive,Female,,,Magenta Sector 8,,
Eevee,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Luxury Ball,Modest,Female,,,Magenta Sector 9,,
Buneary,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-20,Ultra Ball,Brave,Female,,,Wild Zone 6,,
Lopunny,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Heal Ball,Lax,Male,,,Wild Zone 18,,
Vanillite,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Bold,Male,,,Wild Zone 12,,
Vanillish,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Lonely,Female,,,Wild Zone 12,,
Vanilluxe,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Modest,Male,,,Wild Zone 12,,
Hippowdon,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-02-17,Ultra Ball,Serious,Male,,,Wild Zone 20,,
Drilbur,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-19,Ultra Ball,Serious,Male,,,Wild Zone 8,,
Excadrill,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-19,Ultra Ball,Jolly,Female,,,Wild Zone 8,,
Machop,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Adamant,Female,,,Wild Zone 12,,
Riolu,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Luxury Ball,Bashful,Male,,,Bleu Sector 5,,
Dratini,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Dream Ball,Quirky,Male,,,Magenta Sector 8,,
Dragonair,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-28,Heal Ball,Lax,Male,,,Magenta Sector 8,,
Furfrou,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-02-23,Ultra Ball,Docile,Male,,,Wild Zone 19,,
Dragalge,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-19,Ultra Ball,Adamant,Female,,,Wild Zone 20,,
Delibird,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Ultra Ball,Relaxed,Male,,,Wild Zone 12,,
Snorunt,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Relaxed,Female,,,Wild Zone 12,,
Glalie,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Gentle,Male,,,Wild Zone 12,,
Froslass,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Lax,Female,,,Wild Zone 12,,
Snover,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Ultra Ball,Rash,Male,,,Wild Zone 12,,
Abomasnow,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-26,Premier Ball,Docile,Female,,,Wild Zone 12,,
Emolga,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-24,Ultra Ball,Naughty,Female,,,Magenta Sector 8,,
Hawlucha,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-23,Luxury Ball,Rash,Female,,,Bleu Sector 6,,
Phantump,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-06-20,Ultra Ball,Lax,Female,,,Hyperspace Lumiose,,
Noivern,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-02-09,Ultra Ball,Mild,Female,,,Wild Zone 20,,
Aggron,,,Pokémon Legends: Z-A,Random Encounter,,,,1/1096,2026-02-09,Ultra Ball,Hasty,Male,,,Wild Zone 20,,
